,brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
177,BMW,X5,2009,"$7,000",na,Diesel,Used,"SUV, Crossover",na,na,na,"235,000",na,na
178,Audi,A4,2016,"$18,950",White,Komfort plus,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"151,738",https://www.carproof.com/order?ref=kijiji&vin=WAUBFCFL7GN007449,na
179,Audi,A5,2010,"$18,990",Black,Premium,Used,Convertible,na,Automatic,Gasoline,"137,200",na,"Vaughan, ON, L4J, CA"
180,Scion,Other,2016,"$13,500",Silver,4dr HB,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"167,094",https://www.carproof.com/order?ref=kijiji&vin=JTNKARJEXGJ520260,na
181,Toyota,Corolla,2022,"$33,588",White,XLE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"13,472",na,"7080 Dufferin Street, Vaughan, ON, L4K 0A1"
182,Toyota,Highlander,2020,"$44,888",Blue,XLE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"31,617",na,na
183,Honda,HR-V,2016,"$16,888",Grey,LX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"214,827",na,"7080 Dufferin Street, Vaughan, ON, L4K 0A1"
184,Toyota,Camry,2023,"$36,888",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"7,223",na,na
185,Toyota,Camry,2023,"$36,188",White,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"9,494",na,na
186,Mercedes-Benz,B-Class,2009,"$5,995",Red,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"166,641",https://www.carproof.com/order?ref=kijiji&vin=WDDFH33X59J478943,"Lindsey Avenue, Toronto, ON"
187,Honda,Civic,2016,"$14,995",na,EX,Used,Sedan,na,na,na,"232,000",na,na
